SegmentsId,ObservationTime,AccidentTimeTwitter,AccidentTimeISSD
2953351,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
2953350,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
2953349,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:28:00
3406731,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:33:00
3406730,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
3406729,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
3406728,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
3406727,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:23:00
3406726,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
3406725,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:23:00
2953353,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
2953354,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
1492537,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04,2021-01-04 10:03:00
1492536,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
1492535,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
1492534,['2021-01-04 13:33:00', '2021-01-04 13:48:00'],2021-01-04 13:34:06,2021-01-04 13:43:00
1492533,['2021-01-04 13:33:00', '2021-01-04 13:48:00'],2021-01-04 13:34:06,2021-01-04 13:48:00
1538558,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04,2021-01-04 10:03:00
1538559,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
2953387,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22,2021-01-04 12:53:00
2953389,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22,2021-01-04 12:53:00
2953386,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22,2021-01-04 12:53:00
3230002,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22,2021-01-04 12:53:00
3230003,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:57:22,2021-01-04 13:03:00
1573305,['2021-01-04 12:03:00', '2021-01-04 12:13:00'],2021-01-04 12:11:11,2021-01-04 12:03:00
645292,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:28:00
645293,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:28:00
1567143,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:28:00
1567144,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:28:00
1567145,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:38:00
1567150,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:28:00
1567151,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:38:00
1567155,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 08:28:00
645295,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:33:00
645294,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:56,2021-01-04 07:33:00
458466,['2021-01-04 07:38:00', '2021-01-04 07:48:00'],2021-01-04 07:38:56,2021-01-04 07:38:00
903578,['2021-01-04 07:38:00', '2021-01-04 07:48:00'],2021-01-04 07:38:56,2021-01-04 07:38:00
2582013,['2021-01-04 07:58:00', '2021-01-04 08:08:00'],2021-01-04 08:05:38,2021-01-04 07:58:00
87721,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
87716,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
87717,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
87718,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
87719,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
108,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
109,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:18:00
110,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:18:00
120,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
121,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:43:00
122,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:13:00
123,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:18:00
124,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:18:00
125,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:39:45,2021-01-04 08:33:00
501009,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623422,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623423,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
623424,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623425,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623426,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623427,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623428,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623429,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623430,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 08:58:00
623431,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623432,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
903581,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430505,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430504,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430503,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430502,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430501,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430500,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:14:00
1430499,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430498,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430497,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430496,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
903582,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
903583,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
903584,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430506,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430507,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430508,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:18:00
3542447,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
3542446,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
3542445,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
3746408,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
3746407,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
3746406,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:18:00
3746410,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
3746411,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:33:00
1673777,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673778,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673779,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673780,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673770,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:48:00
1673771,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:43:00
1673772,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
1673773,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:43:00
3789083,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48,2021-01-04 14:23:00
3337443,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48,2021-01-04 14:18:00
3337447,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48,2021-01-04 14:18:00
35307,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:28:00
477772,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:23:00
477774,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:23:00
37686,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:23:00
40377,['2021-01-04 17:53:00', '2021-01-04 18:13:00'],2021-01-04 17:57:06,2021-01-04 17:58:00
506070,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
506072,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
506073,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
506074,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
636347,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:57:06,2021-01-04 17:58:00
506069,['2021-01-04 17:28:00', '2021-01-04 18:03:00'],2021-01-04 17:57:06,2021-01-04 18:03:00
1467481,['2021-01-04 17:13:00', '2021-01-04 17:23:00'],2021-01-04 17:16:48,2021-01-04 17:13:00
528338,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
528339,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:53:00
1746866,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
1746867,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:13:00
623419,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
623418,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
623417,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
623416,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:13:00
623415,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:13:00
623414,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:43:00
623413,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:03:00
1573853,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:57:06,2021-01-04 17:48:00
3522357,['2021-01-04 17:53:00', '2021-01-04 18:08:00'],2021-01-04 17:57:06,2021-01-04 18:08:00
2648039,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:08:00
